,comp_id,industry_sector,location,is_tax_haven,num_owners,is_private,emp_base,num_employees,industry_category,rev_per_emp_month_size,annual_revenue,net_revenue
20,20,0,INDIA,NO,3,NO,LARGE,7879,r,EXTRA HIGH,85304782350.84,2483803152.92
21,21,4,INDIA,NO,2,NO,VERY SMALL,34,s,LOW,28564043.28,1124905.41
22,22,5,INDIA,NO,3,YES,MEDIUM,2128,b,LOW,1592098865.28,248623098.5
23,23,1,INDIA,NO,1,NO,SMALL,292,r,HIGH,691604382.72,109845220.28
24,24,7,INDIA,NO,1,NO,MEDIUM,1624,r,VERY HIGH,9785507296.32,1285157927.2
25,25,0,INDIA,NO,1,NO,MEDIUM,1943,r,EXTRA HIGH,20688270478.8,3938391645.47
26,26,0,INDIA,NO,1,YES,EXTRA LARGE,101482,r,EXTRA HIGH,1091663347591.2,176335881053.15
27,27,8,INDIA,NO,2,YES,LARGE,10099,r,VERY LOW,2400300426.96,338689856.11
28,28,0,INDIA,NO,2,NO,SMALL,209,r,EXTRA HIGH,1968367408.92,258922011.16
29,29,0,INDIA,NO,4,NO,MEDIUM,1339,r,EXTRA HIGH,13264029718.68,2526785858.87
30,30,3,INDIA,NO,1,NO,SMALL,131,b,HIGH,378022377.0,28403952.17
31,31,4,INDIA,NO,2,NO,SMALL,271,s,LOW,243216267.0,26522437.28
32,32,6,INDIA,NO,3,NO,MEDIUM,1058,s,MEDIUM,2195348645.76,377107343.97
33,33,3,INDIA,NO,2,YES,VERY LARGE,35526,b,HIGH,83094914687.76,-8992744964.16
34,34,4,INDIA,NO,1,NO,VERY SMALL,20,s,LOW,21723501.6,2904276.92
35,35,6,INDIA,NO,1,NO,EXTRA LARGE,87342,s,MEDIUM,145936973818.08,-20833141227.11
36,36,1,INDIA,NO,1,YES,SMALL,190,r,HIGH,411433455.6,-55116887.7
37,37,8,INDIA,NO,1,NO,VERY SMALL,27,r,VERY LOW,3503742.48,563744.4
38,38,5,INDIA,NO,2,YES,SMALL,336,b,LOW,250806286.08,-19344962.31
39,39,7,INDIA,NO,2,NO,VERY SMALL,29,r,VERY HIGH,172482239.76,2614836.01
40,40,7,INDIA,NO,1,YES,LARGE,6449,r,VERY HIGH,35281100203.8,3459080487.36
41,41,7,INDIA,NO,3,NO,VERY SMALL,32,r,VERY HIGH,183081162.24,7388319.74
42,42,0,INDIA,NO,1,NO,MEDIUM,1347,r,EXTRA HIGH,14190604158.96,821579341.29
43,43,8,INDIA,NO,1,YES,EXTRA LARGE,141126,r,VERY LOW,35739978858.72,-2323633905.29
44,44,0,INDIA,NO,2,YES,LARGE,5176,r,EXTRA HIGH,49113407472.96,9589720938.05
45,45,9,INDIA,NO,1,YES,MEDIUM,1824,r,MEDIUM,3272199310.08,-589543501.1
46,46,0,INDIA,NO,2,NO,SMALL,202,r,EXTRA HIGH,1803177579.36,-140480232.04
47,47,6,OFFSHORE,YES,2,NO,MEDIUM,1675,s,MEDIUM,3019627422.0,109425419.43
48,48,9,INDIA,NO,3,YES,MEDIUM,2158,r,MEDIUM,3214431636.0,258068684.82
49,49,1,INDIA,NO,2,YES,SMALL,204,r,HIGH,770727683.52,13277255.24
50,50,1,INDIA,NO,3,NO,VERY LARGE,31211,r,HIGH,94534296276.72,13730747627.58
51,51,8,INDIA,NO,2,NO,VERY LARGE,36697,r,VERY LOW,6627575080.08,254250839.39
52,52,0,INDIA,NO,3,YES,EXTRA LARGE,76680,r,EXTRA HIGH,723910805640.0,103746890185.66
53,53,0,INDIA,NO,2,NO,VERY LARGE,35836,r,EXTRA HIGH,307110255516.0,52926755898.0
54,54,0,INDIA,NO,1,YES,VERY SMALL,37,r,EXTRA HIGH,423305035.68,54601540.21
55,55,7,INDIA,NO,2,NO,LARGE,9210,r,VERY HIGH,47601442551.6,8906510714.54
56,56,5,INDIA,NO,1,YES,SMALL,163,b,LOW,158452000.08,9463450.48
57,57,4,INDIA,NO,2,NO,MEDIUM,1522,s,LOW,1223221537.44,201331868.32
58,58,8,INDIA,NO,5,YES,VERY SMALL,27,r,VERY LOW,8454294.0,197198.62
59,59,7,INDIA,NO,2,NO,SMALL,205,r,VERY HIGH,1364202569.4,253872258.73
60,60,0,INDIA,NO,1,YES,VERY SMALL,34,r,EXTRA HIGH,284046499.2,31270482.05
61,61,8,INDIA,NO,2,YES,VERY LARGE,28706,r,VERY LOW,9152283457.44,1641333656.58
62,62,9,INDIA,NO,1,YES,MEDIUM,1466,r,MEDIUM,3599989409.04,570648393.84
63,63,0,INDIA,NO,1,YES,SMALL,199,r,EXTRA HIGH,1677359521.68,142284407.32
64,64,0,INDIA,NO,3,NO,LARGE,8642,r,EXTRA HIGH,59168663571.36,9580110620.67
65,65,7,INDIA,NO,2,NO,EXTRA LARGE,88250,r,VERY HIGH,514323005040.0,15994734002.84
66,66,7,INDIA,NO,3,YES,SMALL,128,r,VERY HIGH,855677399.04,97724183.46
67,67,3,INDIA,NO,3,NO,MEDIUM,1868,b,HIGH,6591878724.0,87940994.57
68,68,3,INDIA,NO,2,YES,LARGE,5100,b,HIGH,17238127500.0,1930351378.5
69,69,9,INDIA,NO,1,NO,VERY SMALL,41,r,MEDIUM,89970480.36,4255479.94
70,70,9,INDIA,NO,1,NO,MEDIUM,1351,r,MEDIUM,2346356113.08,-180426520.22
71,71,9,INDIA,NO,1,YES,VERY SMALL,34,r,MEDIUM,66968585.52,11015009.28
72,72,8,INDIA,NO,1,YES,SMALL,160,r,VERY LOW,20943264.0,2064776.8
73,73,0,INDIA,NO,2,YES,VERY SMALL,33,r,EXTRA HIGH,348852350.88,-37054924.97
74,74,1,INDIA,NO,1,YES,SMALL,179,r,HIGH,499093878.84,34496868.87
75,75,9,INDIA,NO,5,YES,SMALL,141,r,MEDIUM,268733338.2,38994981.23
76,76,0,INDIA,NO,3,NO,EXTRA LARGE,86291,r,EXTRA HIGH,692025092000.28,137536221118.94
77,77,7,INDIA,NO,2,NO,LARGE,10513,r,VERY HIGH,69807968438.4,8827984460.28
78,78,0,INDIA,NO,3,YES,SMALL,93,r,EXTRA HIGH,794661348.24,120044970.79
79,79,2,INDIA,NO,1,YES,SMALL,245,s,LOW,272523594.0,13572172.81
80,80,2,INDIA,NO,1,YES,MEDIUM,2096,s,LOW,1463152456.32,291033270.52
81,81,7,INDIA,NO,2,NO,VERY LARGE,29627,r,VERY HIGH,214461046670.52,-41182635709.51
82,82,0,INDIA,NO,2,NO,MEDIUM,1973,r,EXTRA HIGH,17071945120.68,1366951216.0
83,83,1,INDIA,NO,1,YES,MEDIUM,1615,r,HIGH,4553864725.2,211809983.67
84,84,7,INDIA,NO,3,YES,SMALL,243,r,VERY HIGH,1476529984.44,138763093.9
85,85,7,INDIA,NO,3,NO,MEDIUM,962,r,VERY HIGH,5500049564.88,405048971.89
86,86,0,INDIA,NO,2,NO,VERY LARGE,30271,r,EXTRA HIGH,302702839092.24,48325108023.7
87,87,9,INDIA,NO,2,NO,VERY LARGE,36239,r,MEDIUM,65896791762.48,-6669203647.49
88,88,0,INDIA,NO,1,YES,MEDIUM,1446,r,EXTRA HIGH,13571590035.6,2575058541.44
89,89,0,INDIA,NO,1,YES,LARGE,11067,r,EXTRA HIGH,102551987190.24,8363943208.87
90,90,4,INDIA,NO,1,NO,LARGE,10629,s,LOW,10900445952.96,973624260.49
91,91,1,INDIA,NO,1,YES,VERY SMALL,29,r,HIGH,98536701.12,16379368.5
92,92,1,INDIA,NO,1,YES,VERY SMALL,44,r,HIGH,109905686.88,13015566.58
93,93,4,INDIA,NO,2,NO,SMALL,211,s,LOW,152447086.44,-27337206.07
94,94,3,INDIA,NO,3,YES,EXTRA LARGE,108846,b,HIGH,373692764811.6,62561708624.55
95,95,1,INDIA,NO,1,YES,SMALL,131,r,HIGH,447527806.8,-8667290.06
96,96,3,INDIA,NO,2,NO,LARGE,10730,b,HIGH,36022992060.0,618054201.91
97,97,5,INDIA,NO,1,NO,VERY SMALL,31,b,LOW,24876190.56,1305865.7
98,98,7,INDIA,NO,2,YES,EXTRA LARGE,89187,r,VERY HIGH,667907472748.32,15854556590.57
99,99,9,INDIA,NO,3,YES,VERY SMALL,38,r,MEDIUM,54530773.68,10629858.23
100,100,9,INDIA,NO,5,YES,MEDIUM,1513,r,MEDIUM,2502070916.04,-107656510.35
101,101,9,INDIA,NO,1,NO,MEDIUM,1356,r,MEDIUM,1842813763.2,-338118651.04
102,102,3,INDIA,NO,1,YES,VERY LARGE,49456,b,HIGH,130994819366.4,-4382645122.32
103,103,3,INDIA,NO,1,NO,VERY LARGE,31067,b,HIGH,86963168911.2,9991757397.39
104,104,0,INDIA,NO,1,YES,MEDIUM,2464,r,EXTRA HIGH,25794016174.08,3661648784.3
105,105,9,INDIA,NO,5,NO,SMALL,287,r,MEDIUM,468660036.6,28527333.11
106,106,8,INDIA,NO,2,YES,MEDIUM,1796,r,VERY LOW,506628898.56,7714170.62
107,107,6,INDIA,NO,1,NO,MEDIUM,1893,s,MEDIUM,2832328558.8,60179044.7
108,108,9,INDIA,NO,3,NO,MEDIUM,2405,r,MEDIUM,5128957353.0,292023219.75
109,109,3,INDIA,NO,1,NO,SMALL,138,b,HIGH,337787203.68,-45870263.27
110,110,3,INDIA,NO,2,YES,MEDIUM,1338,b,HIGH,3516458438.16,353879185.5
111,111,9,INDIA,NO,1,YES,SMALL,261,r,MEDIUM,393668753.4,69416091.36
112,112,2,OFFSHORE,YES,3,NO,SMALL,239,s,LOW,219983400.96,29125466.34
113,113,5,INDIA,NO,1,NO,VERY SMALL,32,b,LOW,22693608.96,2580004.93
114,114,2,INDIA,NO,1,NO,EXTRA LARGE,106564,s,LOW,93261164048.64,9761362025.78
115,115,9,INDIA,NO,2,NO,SMALL,207,r,MEDIUM,357983970.12,12197202.76
116,116,8,INDIA,NO,2,NO,VERY SMALL,23,r,VERY LOW,4572091.8,338295.71
117,117,9,INDIA,NO,1,YES,SMALL,210,r,MEDIUM,460824411.6,90729524.19
118,118,4,INDIA,NO,1,NO,MEDIUM,1519,s,LOW,1093568809.2,38640695.0
119,119,9,INDIA,NO,3,NO,SMALL,158,r,MEDIUM,214405481.76,10382655.99
120,120,1,INDIA,NO,2,YES,VERY SMALL,23,r,HIGH,72246207.12,4953057.82
121,121,1,INDIA,NO,2,NO,SMALL,218,r,HIGH,873307546.56,13186702.12
122,122,9,INDIA,NO,1,YES,SMALL,308,r,MEDIUM,622399525.44,-37418436.11
123,123,7,INDIA,NO,3,YES,VERY SMALL,32,r,VERY HIGH,198429826.56,2549901.59
124,124,9,INDIA,NO,1,YES,EXTRA LARGE,96225,r,MEDIUM,168602019390.0,-20495112906.64
125,125,4,INDIA,NO,3,NO,VERY SMALL,26,s,LOW,26175589.44,1144691.66
126,126,8,INDIA,NO,2,NO,MEDIUM,1810,r,VERY LOW,488236712.4,48063500.54
127,127,5,INDIA,NO,2,NO,VERY LARGE,32475,b,LOW,30959997084.0,6070936257.19
128,128,7,OFFSHORE,YES,3,YES,VERY SMALL,34,r,VERY HIGH,218823072.48,19609604.4
129,129,1,INDIA,NO,1,YES,SMALL,269,r,HIGH,638660994.36,69418524.44
130,130,8,INDIA,NO,2,YES,VERY LARGE,43042,r,VERY LOW,9135447568.32,-1545952425.22
131,131,9,INDIA,NO,2,YES,VERY LARGE,29463,r,MEDIUM,51640290364.32,813282365.66
132,132,3,INDIA,NO,2,NO,MEDIUM,1215,b,HIGH,3590530286.4,607242878.28
133,133,5,INDIA,NO,1,YES,VERY SMALL,32,b,LOW,17968200.96,665627.32
134,134,6,INDIA,NO,3,NO,MEDIUM,1828,s,MEDIUM,3583764386.4,-421791727.45
135,135,1,INDIA,NO,1,YES,VERY SMALL,31,r,HIGH,69523065.12,4697147.56
136,136,8,INDIA,NO,3,YES,MEDIUM,1637,r,VERY LOW,435861464.88,-84971978.37
137,137,0,INDIA,NO,1,YES,SMALL,223,r,EXTRA HIGH,1943822985.0,268706002.43
138,138,9,INDIA,NO,3,YES,MEDIUM,2022,r,MEDIUM,3579660883.44,41489474.4
139,139,9,INDIA,NO,1,YES,EXTRA LARGE,90876,r,MEDIUM,212762784327.84,11195829344.72
140,140,3,INDIA,NO,2,YES,SMALL,181,b,HIGH,598909951.56,51745969.76
141,141,9,INDIA,NO,2,NO,LARGE,8216,r,MEDIUM,17519146706.88,-1742565115.71
142,142,5,INDIA,NO,1,YES,LARGE,4102,b,LOW,3573586595.04,676186759.57
143,143,4,INDIA,NO,2,NO,SMALL,208,s,LOW,129745898.88,22353277.11
144,144,9,INDIA,NO,1,NO,LARGE,6227,r,MEDIUM,12656228799.24,1876902402.2
145,145,7,INDIA,NO,1,YES,LARGE,9020,r,VERY HIGH,56282824620.0,7813619776.01
146,146,0,INDIA,NO,2,NO,VERY SMALL,28,r,EXTRA HIGH,254711735.04,24667238.15
147,147,6,INDIA,NO,1,YES,SMALL,275,s,MEDIUM,495605913.0,85315024.76
148,148,3,INDIA,NO,2,YES,LARGE,9188,b,HIGH,20732118164.64,-2064253319.33
149,149,7,INDIA,NO,3,NO,VERY SMALL,37,r,VERY HIGH,195264668.76,12346655.57
150,150,4,INDIA,NO,1,NO,MEDIUM,1634,s,LOW,1577875956.24,-154998569.68
151,151,3,INDIA,NO,2,YES,SMALL,260,b,HIGH,616630965.6,18171713.03
152,152,2,INDIA,NO,2,YES,SMALL,226,s,LOW,98652579.84,7435816.04
153,153,1,INDIA,NO,1,NO,LARGE,7707,r,HIGH,23724763297.2,1181941489.53
154,154,0,INDIA,NO,3,YES,MEDIUM,861,r,EXTRA HIGH,8406568361.52,307323819.92
155,155,9,INDIA,NO,1,NO,EXTRA LARGE,112556,r,MEDIUM,178150719348.48,19526631651.07
156,156,7,INDIA,NO,2,NO,SMALL,224,r,VERY HIGH,1568219896.32,235816182.97
157,157,9,INDIA,NO,2,YES,LARGE,7376,r,MEDIUM,12455523705.6,-820252639.21
158,158,5,INDIA,NO,1,NO,EXTRA LARGE,98220,b,LOW,94656165876.0,1827631196.31
159,159,3,INDIA,NO,4,YES,VERY LARGE,27484,b,HIGH,91392873908.64,7103149775.27
160,160,8,INDIA,NO,1,YES,SMALL,111,r,VERY LOW,25356857.76,4315215.72
161,161,6,INDIA,NO,1,YES,VERY LARGE,25826,s,MEDIUM,52264396442.4,-8105160471.55
162,162,1,INDIA,NO,3,YES,VERY LARGE,38164,r,HIGH,103036104507.84,-10301691939.54
163,163,6,INDIA,NO,1,YES,SMALL,173,s,MEDIUM,328865325.72,-51685345.99
164,164,0,INDIA,NO,1,NO,SMALL,245,r,EXTRA HIGH,2985235633.8,33823315.86
165,165,3,INDIA,NO,3,NO,VERY SMALL,30,b,HIGH,91503759.6,14741099.52
166,166,9,INDIA,NO,2,NO,EXTRA LARGE,66434,r,MEDIUM,103948070701.2,8802598214.53
167,167,4,INDIA,NO,1,YES,VERY SMALL,29,s,LOW,36990896.64,829578.29
168,168,7,INDIA,NO,1,YES,LARGE,5874,r,VERY HIGH,34848898547.76,862716429.24
169,169,3,INDIA,NO,2,YES,MEDIUM,1759,b,HIGH,5158919737.2,-782176952.42
170,170,8,INDIA,NO,1,NO,VERY SMALL,38,r,VERY LOW,7705620.24,1286391.69
171,171,9,INDIA,NO,1,NO,MEDIUM,1446,r,MEDIUM,3123707560.56,339639646.97
172,172,2,INDIA,NO,3,NO,LARGE,10703,s,LOW,7467975438.0,403084067.01
173,173,9,INDIA,NO,5,YES,LARGE,10212,r,MEDIUM,18968443608.96,2181605155.53
174,174,9,INDIA,NO,1,YES,VERY LARGE,22536,r,MEDIUM,34135966097.28,1198524273.38
175,175,2,INDIA,NO,3,YES,MEDIUM,1669,s,LOW,1398407633.64,183883504.35
176,176,8,INDIA,NO,1,NO,MEDIUM,1645,r,VERY LOW,315494352.6,20478811.84
177,177,7,INDIA,NO,4,NO,MEDIUM,1847,r,VERY HIGH,10631250288.72,-734209163.57
178,178,9,INDIA,NO,1,NO,SMALL,213,r,MEDIUM,420252331.32,57749653.76
179,179,9,INDIA,NO,2,YES,LARGE,6088,r,MEDIUM,14140420560.96,920650510.47
180,180,1,INDIA,NO,2,NO,MEDIUM,1305,r,HIGH,4364287435.8,150598602.84
181,181,6,INDIA,NO,1,YES,SMALL,244,s,MEDIUM,515857206.72,83843864.28
182,182,0,INDIA,NO,1,NO,VERY LARGE,15719,r,EXTRA HIGH,152793265546.68,18210783425.0
183,183,0,INDIA,NO,2,YES,MEDIUM,1619,r,EXTRA HIGH,11634600984.36,695100000.0
184,184,0,INDIA,NO,2,NO,EXTRA LARGE,61118,r,EXTRA HIGH,663571892218.32,118121266328.56
185,185,9,INDIA,NO,1,YES,LARGE,8180,r,MEDIUM,13091680672.8,-1369152309.17
186,186,3,INDIA,NO,1,YES,EXTRA LARGE,123050,b,HIGH,350895045222.0,27574193419.36
187,187,1,INDIA,NO,2,NO,MEDIUM,471,r,HIGH,1446769965.24,54917941.52
188,188,7,INDIA,NO,3,NO,VERY SMALL,26,r,VERY HIGH,180198401.76,35801346.75
189,189,0,INDIA,NO,3,NO,VERY SMALL,31,r,EXTRA HIGH,311275493.76,42183856.79
190,190,0,INDIA,NO,2,YES,LARGE,5965,r,EXTRA HIGH,50441187666.0,8142881602.78
191,191,1,INDIA,NO,3,NO,VERY SMALL,29,r,HIGH,87654869.88,16554096.32
192,192,1,INDIA,NO,1,NO,VERY SMALL,27,r,HIGH,82450233.72,5568671.81
193,193,3,INDIA,NO,2,NO,VERY SMALL,27,b,HIGH,97613132.4,15751409.56
194,194,9,INDIA,NO,3,YES,VERY SMALL,34,r,MEDIUM,64550418.48,1600129.51
195,195,8,INDIA,NO,1,YES,VERY SMALL,25,r,VERY LOW,6535407.0,147557.45
196,196,0,INDIA,NO,1,NO,MEDIUM,790,r,EXTRA HIGH,6877325439.6,717775680.89
197,197,8,INDIA,NO,1,YES,VERY SMALL,31,r,VERY LOW,4957074.84,580649.69
198,198,0,INDIA,NO,2,NO,MEDIUM,1302,r,EXTRA HIGH,12611617648.56,638716094.88
199,199,8,INDIA,NO,1,YES,SMALL,182,r,VERY LOW,34380025.68,-2529388.48
200,200,1,INDIA,NO,2,YES,MEDIUM,1456,r,HIGH,4211129919.36,239989128.08
201,201,9,INDIA,NO,1,NO,SMALL,196,r,MEDIUM,320022739.68,8941956.61
202,202,0,INDIA,NO,2,NO,MEDIUM,1480,r,EXTRA HIGH,16978269268.8,180266910.28
203,203,1,INDIA,NO,3,NO,LARGE,7079,r,HIGH,24728171667.0,2989571070.37
204,204,8,INDIA,NO,3,YES,MEDIUM,1546,r,VERY LOW,200158826.64,12500061.52
205,205,0,INDIA,NO,1,YES,SMALL,244,r,EXTRA HIGH,2363943199.2,30517588.72
206,206,7,INDIA,NO,1,YES,LARGE,9592,r,VERY HIGH,62534056791.36,2991541144.24
207,207,0,INDIA,NO,2,NO,VERY SMALL,9,r,EXTRA HIGH,86238290.52,8298007.45
208,208,6,INDIA,NO,1,YES,VERY SMALL,17,s,MEDIUM,28162797.72,3651431.01
209,209,0,INDIA,NO,1,NO,LARGE,8683,r,EXTRA HIGH,96290891214.72,-14809773558.27
210,210,3,INDIA,NO,4,NO,SMALL,180,b,HIGH,462839616.0,-46305475.68
211,211,0,INDIA,NO,2,NO,SMALL,211,r,EXTRA HIGH,2406344689.2,363575662.33
212,212,8,INDIA,NO,2,YES,LARGE,8640,r,VERY LOW,2311120512.0,438671454.23
213,213,8,INDIA,NO,1,NO,EXTRA LARGE,83736,r,VERY LOW,11675715762.24,1805060580.46
214,214,8,INDIA,NO,1,NO,EXTRA LARGE,148393,r,VERY LOW,30757488338.64,2664252476.3
215,215,9,INDIA,NO,3,NO,MEDIUM,1389,r,MEDIUM,2730698605.08,62963743.21
216,216,9,INDIA,NO,1,NO,MEDIUM,1457,r,MEDIUM,2312499230.16,-270410821.62
217,217,1,INDIA,NO,1,YES,MEDIUM,1783,r,HIGH,6564348215.64,330184948.43
218,218,8,INDIA,NO,1,NO,SMALL,228,r,VERY LOW,44513680.32,4847459.14
219,219,8,INDIA,NO,2,YES,SMALL,168,r,VERY LOW,37089702.72,4141578.39
220,220,7,INDIA,NO,1,YES,VERY SMALL,32,r,VERY HIGH,206476815.36,17087748.78
221,221,0,INDIA,NO,1,YES,MEDIUM,1646,r,EXTRA HIGH,16106767807.44,1200659028.85
222,222,6,INDIA,NO,3,YES,MEDIUM,1856,s,MEDIUM,3011433200.64,490956978.74
223,223,3,INDIA,NO,1,NO,VERY LARGE,16976,b,HIGH,47652033991.68,9224264997.09
224,224,3,INDIA,NO,3,YES,SMALL,119,b,HIGH,373269161.16,12138255.3
225,225,6,INDIA,NO,1,NO,VERY SMALL,27,s,MEDIUM,61545099.24,6832207.41
226,226,3,INDIA,NO,1,NO,VERY LARGE,29066,b,HIGH,109480964079.12,14504020535.23
227,227,9,INDIA,NO,4,NO,VERY SMALL,30,r,MEDIUM,59989579.2,1228196.48
228,228,9,INDIA,NO,3,YES,LARGE,9460,r,MEDIUM,16774792504.8,1993885790.09
229,229,0,INDIA,NO,1,YES,LARGE,6795,r,EXTRA HIGH,88546011386.4,-8139778860.8
230,230,7,INDIA,NO,1,NO,MEDIUM,1747,r,VERY HIGH,11710459582.92,1972431288.54
231,231,7,INDIA,NO,2,YES,SMALL,247,r,VERY HIGH,1709914230.96,116287376.39
232,232,6,INDIA,NO,2,YES,MEDIUM,814,s,MEDIUM,1690408077.6,-307031228.84
233,233,9,INDIA,NO,1,NO,VERY SMALL,31,r,MEDIUM,58642336.68,9823179.96
234,234,8,INDIA,NO,1,NO,LARGE,7878,r,VERY LOW,1454652847.44,260903746.95
235,235,0,INDIA,NO,2,NO,VERY SMALL,20,r,EXTRA HIGH,187008986.4,14434377.58
236,236,3,INDIA,NO,3,NO,VERY SMALL,28,b,HIGH,78999516.96,-5730769.93
237,237,9,INDIA,NO,1,YES,EXTRA LARGE,126766,r,MEDIUM,217697908815.36,21714391894.5
238,238,3,INDIA,NO,1,YES,SMALL,280,b,HIGH,793843512.0,144859503.41
239,239,0,INDIA,NO,4,NO,SMALL,147,r,EXTRA HIGH,1319597561.52,-115167512.75
240,240,5,INDIA,NO,2,YES,SMALL,265,b,LOW,146772168.6,24176071.89
241,241,7,INDIA,NO,1,YES,VERY SMALL,39,r,VERY HIGH,265547393.28,24744646.9
242,242,6,INDIA,NO,2,YES,SMALL,112,s,MEDIUM,194550370.56,25394554.2
243,243,1,INDIA,NO,2,YES,LARGE,10662,r,HIGH,29795415760.08,5193404396.5
244,244,0,INDIA,NO,5,NO,MEDIUM,1262,r,EXTRA HIGH,13357225013.52,977684312.24
245,245,1,INDIA,NO,1,NO,MEDIUM,1070,r,HIGH,3522910286.4,173796368.81
246,246,9,INDIA,NO,1,YES,MEDIUM,2393,r,MEDIUM,3759041561.28,-47845019.49
247,247,9,INDIA,NO,1,NO,SMALL,228,r,MEDIUM,359627938.56,-64954854.24
248,248,0,INDIA,NO,1,YES,MEDIUM,1493,r,EXTRA HIGH,12983543531.76,2239755139.72
249,249,1,INDIA,NO,2,NO,MEDIUM,1645,r,HIGH,5259736225.8,886559925.6
250,250,4,INDIA,NO,1,NO,EXTRA LARGE,105196,s,LOW,68717002142.88,11967527464.99
251,251,9,INDIA,NO,1,NO,VERY SMALL,22,r,MEDIUM,43895211.36,7796295.23
252,252,0,INDIA,NO,3,NO,EXTRA LARGE,88316,r,EXTRA HIGH,811441561480.8,48433904748.89
253,253,3,OFFSHORE,YES,3,NO,LARGE,8543,b,HIGH,24793379782.08,3041510201.51
254,254,0,INDIA,NO,3,YES,SMALL,156,r,EXTRA HIGH,1694235273.12,184947846.56
255,255,7,INDIA,NO,3,YES,EXTRA LARGE,56111,r,VERY HIGH,332829414863.88,25386082179.78
256,256,7,INDIA,NO,3,YES,VERY SMALL,30,r,VERY HIGH,215529742.8,2688186.99
257,257,9,INDIA,NO,3,YES,MEDIUM,1388,r,MEDIUM,2486981812.32,193087312.22
258,258,6,INDIA,NO,1,NO,SMALL,265,s,MEDIUM,530950512.6,5513009.44
259,259,8,INDIA,NO,5,YES,SMALL,232,r,VERY LOW,68444472.96,11704579.55
260,260,0,INDIA,NO,1,YES,SMALL,194,r,EXTRA HIGH,1560160904.88,135214729.78
261,261,8,INDIA,NO,3,YES,MEDIUM,843,r,VERY LOW,238276310.4,-29117161.58
262,262,9,INDIA,NO,1,NO,SMALL,264,r,MEDIUM,591441491.52,-102608054.62
263,263,5,INDIA,NO,3,NO,MEDIUM,1014,b,LOW,590036662.8,65262240.27
264,264,9,INDIA,NO,3,NO,VERY SMALL,39,r,MEDIUM,66765076.56,8015229.15
265,265,4,INDIA,NO,1,NO,VERY SMALL,17,s,LOW,17097801.0,1209116.41
266,266,9,INDIA,NO,1,NO,MEDIUM,1103,r,MEDIUM,1578299818.56,154808037.62
267,267,4,INDIA,NO,2,NO,SMALL,158,s,LOW,143061428.64,25643564.43
268,268,5,INDIA,NO,1,YES,SMALL,185,b,LOW,120294962.4,-5360271.08
269,269,9,INDIA,NO,2,NO,MEDIUM,1817,r,MEDIUM,3001865918.04,177299334.12
270,270,9,INDIA,NO,3,NO,VERY SMALL,33,r,MEDIUM,61684448.76,10639825.62
271,271,0,INDIA,NO,1,NO,SMALL,176,r,EXTRA HIGH,1533393185.28,178738272.25
272,272,2,INDIA,NO,1,YES,VERY LARGE,44146,s,LOW,29902444962.24,841174205.32
273,273,8,INDIA,NO,2,NO,VERY LARGE,20590,r,VERY LOW,4681190034.0,566386239.6
274,274,3,INDIA,NO,1,YES,MEDIUM,1820,b,HIGH,6132629412.0,1210872731.04
